Location,metric,raw_value,metric_id,normalised_value,city_order
BadgerysCreek,Rainfall,2.115542228885557,avg_Rainfall,0.3087822113987849,21
BadgerysCreek,Humidity 3pm,51.163609320773425,avg_Humidity3pm,0.592612229292797,21
BadgerysCreek,Wind gust,33.496796451453925,avg_WindGustSpeed,0.2684127662665815,21
BadgerysCreek,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,21
BadgerysCreek,Rain tomorrow rate,0.19598236158745713,rain_probability,0.4232882737212086,21
Ballarat,Max temp,18.234276284771333,avg_MaxTemp,0.27724113965206765,45
Ballarat,Min temp,7.284865629420085,avg_MinTemp,0.18445978745511268,45
Ballarat,Rainfall,1.5237240075614367,avg_Rainfall,0.19340234269484008,45
Ballarat,Humidity 3pm,58.847425602267364,avg_Humidity3pm,0.7615491039851959,45
Ballarat,Wind gust,44.64194008559201,avg_WindGustSpeed,0.836343765437173,45
Ballarat,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,45
Ballarat,Rain tomorrow rate,0.2525918944392083,rain_probability,0.6108009917078974,45
Bendigo,Max temp,21.429587482219063,avg_MaxTemp,0.41560423405451064,32
Bendigo,Min temp,8.524549763033175,avg_MinTemp,0.24810934478470204,32
Bendigo,Rainfall,1.556905552918842,avg_Rainfall,0.19987136005318648,32
Bendigo,Humidity 3pm,46.859174964438125,avg_Humidity3pm,0.4979746610795587,32
Bendigo,Wind gust,38.86749879980797,avg_WindGustSpeed,0.5420914599718548,32
Bendigo,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,32
Bendigo,Rain tomorrow rate,0.17772511848341233,rain_probability,0.3628132069802671,32
Brisbane,Max temp,26.411874431301182,avg_MaxTemp,0.6313468008588151,8
Brisbane,Min temp,16.374988631196,avg_MinTemp,0.651177308028892,8
Brisbane,Rainfall,3.170339761248852,avg_Rainfall,0.514423735110285,8
Brisbane,Humidity 3pm,53.66043755697356,avg_Humidity3pm,0.647507654094049,8
Brisbane,Wind gust,28.229433272394882,avg_WindGustSpeed,0.0,8
Brisbane,Sunshine,8.096908167974158,avg_Sunshine,0.5429019685507342,8
Brisbane,Rain tomorrow rate,0.22343324250681199,rain_probability,0.5142162329007539,8
Cairns,Max temp,29.532889100428367,avg_MaxTemp,0.7664927132947565,3
Cairns,Min temp,21.17686815801999,avg_MinTemp,0.8977219704515501,3
Cairns,Rainfall,5.661007194244604,avg_Rainfall,1.0,3
Cairns,Humidity 3pm,61.711565920990004,avg_Humidity3pm,0.8245202756529574,3
Cairns,Wind gust,38.11153662039253,avg_WindGustSpeed,0.5035693583297084,3
Cairns,Sunshine,7.584178610804852,avg_Sunshine,0.38113535146441546,3
Cairns,Rain tomorrow rate,0.3193717277486911,rain_probability,0.8320016874167256,3
Canberra,Max temp,20.9997491638796,avg_MaxTemp,0.39699141165846497,34
Canberra,Min temp,6.790928093645485,avg_MinTemp,0.15909937132322916,34
Canberra,Rainfall,1.7361764705882354,avg_Rainfall,0.2348217116946953,34
Canberra,Humidity 3pm,45.63407469576165,avg_Humidity3pm,0.4710395284588731,34
Canberra,Wind gust,39.95924038906901,avg_WindGustSpeed,0.5977241114637495,34
Canberra,Sunshine,7.411938872970392,avg_Sunshine,0.32679356576526464,34
Canberra,Rain tomorrow rate,0.18595904722106144,rain_probability,0.3900871709140205,34
Cobar,Max temp,25.993444976076557,avg_MaxTemp,0.6132280040855144,10
Cobar,Min temp,13.250742692860564,avg_MinTemp,0.4907680024872901,10
Cobar,Rainfall,1.1014853857211309,avg_Rainfall,0.11108342280645118,10
Cobar,Humidity 3pm,33.624441132637855,avg_Humidity3pm,0.20699495919431402,10
Cobar,Wind gust,36.60766246362755,avg_WindGustSpeed,0.4269353749091423,10
Cobar,Sunshine,8.944935064935065,avg_Sunshine,0.8104551852541662,10
Cobar,Rain tomorrow rate,0.12679425837320574,rain_probability,0.19411045450084555,10
CoffsHarbour,Max temp,23.9947138700291,avg_MaxTemp,0.5266791192908065,20
CoffsHarbour,Min temp,14.453343023255814,avg_MinTemp,0.5525135525016984,20
CoffsHarbour,Rainfall,5.2910063198833255,avg_Rainfall,0.92786526205862,20
CoffsHarbour,Humidity 3pm,62.33641225085075,avg_Humidity3pm,0.8382581869020752,20
CoffsHarbour,Wind gust,39.56648648648648,avg_WindGustSpeed,0.5777102719257278,20
CoffsHarbour,Sunshine,7.454777672658468,avg_Sunshine,0.34030924397940376,20
CoffsHarbour,Rain tomorrow rate,0.2947725072604066,rain_probability,0.750519533056051,20
Dartmoor,Max temp,19.696129656507015,avg_MaxTemp,0.34054219034082533,43
Dartmoor,Min temp,8.581337857489094,avg_MinTemp,0.2510250367547005,43
Dartmoor,Rainfall,2.0426563257392147,avg_Rainfall,0.29457250032132254,43
Dartmoor,Humidity 3pm,62.43003587903639,avg_Humidity3pm,0.8403166019608967,43
Dartmoor,Wind gust,38.80590513068732,avg_WindGustSpeed,0.538952787632171,43
Dartmoor,Sunshine,6.406579693703914,avg_Sunshine,0.009601878427228875,43
Dartmoor,Rain tomorrow rate,0.31253023705853894,rain_probability,0.8093400180870983,43
Darwin,Max temp,32.511411817771766,avg_MaxTemp,0.8954684513226477,1
Darwin,Min temp,23.168907942238267,avg_MinTemp,1.0,1
Darwin,Rainfall,5.314930085701398,avg_Rainfall,0.9325293985443424,1
Darwin,Humidity 3pm,51.73420577617328,avg_Humidity3pm,0.6051573993429938,1
Darwin,Wind gust,40.646118721461185,avg_WindGustSpeed,0.6327258584514891,1
Darwin,Sunshine,8.493044263775971,avg_Sunshine,0.6678832481114931,1
Darwin,Rain tomorrow rate,0.2656743346865133,rain_probability,0.6541351053296232,1
GoldCoast,Max temp,25.748346303501943,avg_MaxTemp,0.6026147621582671,11
GoldCoast,Min temp,17.332766164316965,avg_MinTemp,0.7003528313339292,11
GoldCoast,Rainfall,3.9093610698365526,avg_Rainfall,0.658502066060436,11
GoldCoast,Humidity 3pm,63.0565577766943,avg_Humidity3pm,0.8540913523504388,11
GoldCoast,Wind gust,42.5595,avg_WindGustSpeed,0.730227387098131,11
GoldCoast,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,11
GoldCoast,Rain tomorrow rate,0.2620320855614973,rain_probability,0.6420705642777664,11
Hobart,Max temp,17.91170688114388,avg_MaxTemp,0.26327326670088375,47
Hobart,Min temp,9.095310406431443,avg_MinTemp,0.277414117918783,47
Hobart,Rainfall,1.585075960679178,avg_Rainfall,0.20536341459225085,47
Hobart,Humidity 3pm,52.76177658142665,avg_Humidity3pm,0.6277496365861915,47
Hobart,Wind gust,47.85354896675651,avg_WindGustSpeed,1.0,47
Hobart,Sunshine,6.56042133572389,avg_Sunshine,0.05813904904397652,47
Hobart,Rain tomorrow rate,0.2443054935238946,rain_probability,0.5833532195804191,47
Katherine,Max temp,34.925428571428576,avg_MaxTemp,1.0,0
Katherine,Min temp,20.48672480620155,avg_MinTemp,0.8622876871158626,0
Katherine,Rainfall,2.9268500948766603,avg_Rainfall,0.4669534060049486,0
Katherine,Humidity 3pm,42.21653543307087,avg_Humidity3pm,0.3959012923237824,0
Katherine,Wind gust,38.800575263662516,avg_WindGustSpeed,0.5386811898130481,0
Katherine,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,0
Katherine,Rain tomorrow rate,0.16338028169014085,rain_probability,0.31529754661921217,0
Launceston,Max temp,19.021342346692418,avg_MaxTemp,0.31132260749580415,44
Launceston,Min temp,7.810633156114065,avg_MinTemp,0.21145446248963998,44
Launceston,Rainfall,1.9791384317521783,avg_Rainfall,0.2821891602947544,44
Launceston,Humidity 3pm,57.272243713733076,avg_Humidity3pm,0.7269170545487776,44
Launceston,Wind gust,35.31289537712895,avg_WindGustSpeed,0.3609570089708185,44
Launceston,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,44
Launceston,Rain tomorrow rate,0.2273166023166023,rain_probability,0.527079426009254,44
Melbourne,Max temp,20.864306784660766,avg_MaxTemp,0.3911264972435824,37
Melbourne,Min temp,11.774041297935103,avg_MinTemp,0.4149491809451829,37
Melbourne,Rainfall,1.7365336658354114,avg_Rainfall,0.2348913498694521,37
Melbourne,Humidity 3pm,51.09461856889415,avg_Humidity3pm,0.5910953942230629,37
Melbourne,Wind gust,45.385892116182575,avg_WindGustSpeed,0.8742538573963391,37
Melbourne,Sunshine,6.438842975206612,avg_Sunshine,0.019780971541362862,37
Melbourne,Rain tomorrow rate,0.26017699115044246,rain_probability,0.6359257724447412,37
MelbourneAirport,Max temp,20.551005142589993,avg_MaxTemp,0.37755993611710925,39
