state,bachelor,income_trend
WA,47.0,79689.0
WA,48.0,80470.98
WA,49.0,81252.97
WA,50.0,82034.96
WA,51.0,82816.94
WA,52.0,83598.93
WA,53.0,84380.92
WA,54.0,85162.9
WA,55.0,85944.89
WA,56.0,86726.88
WA,57.0,87508.86
WA,58.0,88290.85
WA,59.0,89072.83
WA,60.0,89854.82
WA,61.0,90636.81
WA,62.0,91418.79
WA,63.0,92200.78
WA,64.0,92982.77
WA,65.0,93764.75
TAS,0.0,42705.71
TAS,1.0,42995.81
TAS,2.0,43285.9
TAS,3.0,43576.0
TAS,4.0,43866.1
TAS,5.0,44156.2
TAS,6.0,44446.3
TAS,7.0,44736.4
TAS,8.0,45026.49
TAS,9.0,45316.59
TAS,10.0,45606.69
TAS,11.0,45896.79
TAS,12.0,46186.89
TAS,13.0,46476.99
TAS,14.0,46767.08
TAS,15.0,47057.18
TAS,16.0,47347.28
TAS,17.0,47637.38
TAS,18.0,47927.48
TAS,19.0,48217.58
TAS,20.0,48507.67
TAS,21.0,48797.77
TAS,22.0,49087.87
TAS,23.0,49377.97
TAS,24.0,49668.07
TAS,25.0,49958.17
TAS,26.0,50248.26
TAS,27.0,50538.36
TAS,28.0,50828.46
TAS,29.0,51118.56
TAS,30.0,51408.66
TAS,31.0,51698.76
TAS,32.0,51988.85
TAS,33.0,52278.95
TAS,34.0,52569.05
TAS,35.0,52859.15
TAS,36.0,53149.25
TAS,37.0,53439.35
TAS,38.0,53729.44
TAS,39.0,54019.54
TAS,40.0,54309.64
TAS,41.0,54599.74
TAS,42.0,54889.84
TAS,43.0,55179.94
TAS,44.0,55470.03
TAS,45.0,55760.13
TAS,46.0,56050.23
TAS,47.0,56340.33
TAS,48.0,56630.43
TAS,49.0,56920.53
TAS,50.0,57210.62
TAS,51.0,57500.72
TAS,52.0,57790.82
TAS,53.0,58080.92
TAS,54.0,58371.02
TAS,55.0,58661.11
TAS,56.0,58951.21
TAS,57.0,59241.31
TAS,58.0,59531.41
TAS,59.0,59821.51
TAS,60.0,60111.61
TAS,61.0,60401.7
TAS,62.0,60691.8
TAS,63.0,60981.9
TAS,64.0,61272.0
TAS,65.0,61562.1
NT,0.0,22938.0
NT,1.0,25431.73
NT,2.0,27925.47
NT,3.0,30419.21
NT,4.0,32912.94
NT,5.0,35406.68
NT,6.0,37900.41
NT,7.0,40394.15
NT,8.0,42887.89
NT,9.0,45381.62
NT,10.0,47875.36
NT,11.0,50369.1
NT,12.0,52862.83
NT,13.0,55356.57
NT,14.0,57850.3
NT,15.0,60344.04
NT,16.0,62837.78
NT,17.0,65331.51
NT,18.0,67825.25
NT,19.0,70318.99
NT,20.0,72812.72
NT,21.0,75306.46
NT,22.0,77800.19
NT,23.0,80293.93
NT,24.0,82787.67
NT,25.0,85281.4
NT,26.0,87775.14
NT,27.0,90268.87
NT,28.0,92762.61
NT,29.0,95256.35
NT,30.0,97750.08
NT,31.0,100243.82
NT,32.0,102737.56
NT,33.0,105231.29
NT,34.0,107725.03
