Location,direction,count,direction_order
Dartmoor,SSW,271,9
Darwin,SSW,35,9
GoldCoast,SSW,7,9
Hobart,SSW,155,9
Katherine,SSW,22,9
Launceston,SSW,36,9
Melbourne,SSW,144,9
MelbourneAirport,SSW,114,9
Mildura,SSW,214,9
Moree,SSW,160,9
MountGambier,SSW,222,9
MountGinini,SSW,79,9
Newcastle,SSW,0,9
Nhil,SSW,93,9
NorahHead,SSW,214,9
NorfolkIsland,SSW,107,9
Nuriootpa,SSW,47,9
PearceRAAF,SSW,117,9
Penrith,SSW,148,9
Perth,SSW,344,9
PerthAirport,SSW,132,9
Portland,SSW,107,9
Richmond,SSW,118,9
Sale,SSW,35,9
SalmonGums,SSW,234,9
Sydney,SSW,119,9
SydneyAirport,SSW,245,9
Townsville,SSW,81,9
Tuggeranong,SSW,59,9
Uluru,SSW,62,9
WaggaWagga,SSW,51,9
Walpole,SSW,259,9
Watsonia,SSW,348,9
Williamtown,SSW,124,9
Witchcliffe,SSW,150,9
Wollongong,SSW,225,9
Woomera,SSW,240,9
Adelaide,SW,285,10
Albany,SW,0,10
Albury,SW,86,10
AliceSprings,SW,63,10
BadgerysCreek,SW,250,10
Ballarat,SW,91,10
Bendigo,SW,172,10
Brisbane,SW,61,10
Cairns,SW,0,10
Canberra,SW,28,10
Cobar,SW,295,10
CoffsHarbour,SW,236,10
Dartmoor,SW,233,10
Darwin,SW,32,10
GoldCoast,SW,14,10
Hobart,SW,174,10
Katherine,SW,13,10
Launceston,SW,26,10
Melbourne,SW,131,10
MelbourneAirport,SW,187,10
Mildura,SW,164,10
Moree,SW,222,10
MountGambier,SW,197,10
MountGinini,SW,172,10
Newcastle,SW,0,10
Nhil,SW,129,10
NorahHead,SW,38,10
NorfolkIsland,SW,129,10
Nuriootpa,SW,151,10
PearceRAAF,SW,232,10
Penrith,SW,141,10
Perth,SW,505,10
PerthAirport,SW,282,10
Portland,SW,121,10
Richmond,SW,74,10
Sale,SW,60,10
SalmonGums,SW,104,10
Sydney,SW,39,10
SydneyAirport,SW,71,10
Townsville,SW,38,10
Tuggeranong,SW,26,10
Uluru,SW,25,10
WaggaWagga,SW,169,10
Walpole,SW,71,10
Watsonia,SW,253,10
Williamtown,SW,47,10
Witchcliffe,SW,167,10
Wollongong,SW,92,10
Woomera,SW,180,10
Adelaide,WSW,378,11
Albany,WSW,0,11
Albury,WSW,159,11
AliceSprings,WSW,42,11
BadgerysCreek,WSW,188,11
Ballarat,WSW,153,11
Bendigo,WSW,172,11
Brisbane,WSW,111,11
Cairns,WSW,6,11
Canberra,WSW,21,11
Cobar,WSW,204,11
CoffsHarbour,WSW,121,11
Dartmoor,WSW,122,11
Darwin,WSW,44,11
GoldCoast,WSW,8,11
Hobart,WSW,97,11
Katherine,WSW,14,11
Launceston,WSW,44,11
Melbourne,WSW,106,11
MelbourneAirport,WSW,147,11
Mildura,WSW,188,11
Moree,WSW,194,11
MountGambier,WSW,177,11
MountGinini,WSW,246,11
Newcastle,WSW,0,11
Nhil,WSW,93,11
NorahHead,WSW,51,11
NorfolkIsland,WSW,94,11
